time_ns,state,active_fault,warn,fault,shutdown,cnt_uv,cnt_ov,cnt_ot,cnt_uc,ov,uv,ot,uc
5,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,4,0,0,0,0,0,0,0,0,0,0,1
35,0,0,0,0,0,0,0,0,1,0,0,0,0
45,0,0,0,0,0,0,0,0,0,0,0,0,0
55,0,0,0,0,0,0,0,0,0,0,0,0,0
65,0,0,0,0,0,0,0,0,0,0,0,0,0
75,0,0,0,0,0,0,0,0,0,0,0,0,0
85,0,2,0,0,0,0,0,0,0,1,0,0,0
95,0,2,0,0,0,0,1,0,0,1,0,0,0
105,0,2,0,0,0,0,2,0,0,1,0,0,0
115,0,2,0,0,0,0,3,0,0,1,0,0,0
125,0,2,0,0,0,0,4,0,0,1,0,0,0
135,0,2,0,0,0,0,5,0,0,1,0,0,0
145,1,2,1,0,0,0,6,0,0,1,0,0,0
155,1,2,1,0,0,0,7,0,0,1,0,0,0
165,1,2,1,0,0,0,8,0,0,1,0,0,0
175,1,2,1,0,0,0,9,0,0,1,0,0,0
185,1,2,1,0,0,0,10,0,0,1,0,0,0
195,1,2,1,0,0,0,11,0,0,1,0,0,0
205,1,2,1,0,0,0,12,0,0,1,0,0,0
215,2,2,0,1,0,0,13,0,0,1,0,0,0
225,2,2,0,1,0,0,14,0,0,1,0,0,0
235,2,2,0,1,0,0,15,0,0,1,0,0,0
245,2,2,0,1,0,0,16,0,0,1,0,0,0
255,2,2,0,1,0,0,17,0,0,1,0,0,0
265,2,2,0,1,0,0,18,0,0,1,0,0,0
275,2,2,0,1,0,0,19,0,0,1,0,0,0
285,2,0,0,1,0,0,20,0,0,0,0,0,0
295,0,0,0,0,0,0,0,0,0,0,0,0,0
305,0,0,0,0,0,0,0,0,0,0,0,0,0
315,0,0,0,0,0,0,0,0,0,0,0,0,0
325,0,0,0,0,0,0,0,0,0,0,0,0,0
335,0,0,0,0,0,0,0,0,0,0,0,0,0
345,0,0,0,0,0,0,0,0,0,0,0,0,0
355,0,4,0,0,0,0,0,0,0,0,0,0,1
365,0,4,0,0,0,0,0,0,1,0,0,0,1
375,0,4,0,0,0,0,0,0,2,0,0,0,1
385,0,4,0,0,0,0,0,0,3,0,0,0,1
395,0,4,0,0,0,0,0,0,4,0,0,0,1
405,0,4,0,0,0,0,0,0,5,0,0,0,1
415,1,4,1,0,0,0,0,0,6,0,0,0,1
425,1,4,1,0,0,0,0,0,7,0,0,0,1
435,1,4,1,0,0,0,0,0,8,0,0,0,1
445,1,4,1,0,0,0,0,0,9,0,0,0,1
455,1,4,1,0,0,0,0,0,10,0,0,0,1
465,1,4,1,0,0,0,0,0,11,0,0,0,1
475,1,4,1,0,0,0,0,0,12,0,0,0,1
485,2,4,0,1,0,0,0,0,13,0,0,0,1
495,2,4,0,1,0,0,0,0,14,0,0,0,1
505,2,4,0,1,0,0,0,0,15,0,0,0,1
515,2,4,0,1,0,0,0,0,16,0,0,0,1
525,2,4,0,1,0,0,0,0,17,0,0,0,1
535,2,4,0,1,0,0,0,0,18,0,0,0,1
545,2,4,0,1,0,0,0,0,19,0,0,0,1
555,2,4,0,1,0,0,0,0,20,0,0,0,1
565,2,4,0,1,0,0,0,0,21,0,0,0,1
575,2,4,0,1,0,0,0,0,22,0,0,0,1
585,2,4,0,1,0,0,0,0,23,0,0,0,1
595,2,4,0,1,0,0,0,0,24,0,0,0,1
605,2,4,0,1,0,0,0,0,25,0,0,0,1
615,2,4,0,1,0,0,0,0,26,0,0,0,1
625,2,4,0,1,0,0,0,0,27,0,0,0,1
635,2,4,0,1,0,0,0,0,28,0,0,0,1
645,2,4,0,1,0,0,0,0,29,0,0,0,1
655,2,4,0,1,0,0,0,0,30,0,0,0,1
665,3,4,0,0,1,0,0,0,31,0,0,0,1
675,3,4,0,0,1,0,0,0,32,0,0,0,1
685,3,4,0,0,1,0,0,0,33,0,0,0,1
695,3,4,0,0,1,0,0,0,34,0,0,0,1
705,3,4,0,0,1,0,0,0,35,0,0,0,1
715,3,4,0,0,1,0,0,0,36,0,0,0,1
725,3,4,0,0,1,0,0,0,37,0,0,0,1
735,3,4,0,0,1,0,0,0,38,0,0,0,1
745,3,4,0,0,1,0,0,0,39,0,0,0,1
755,3,0,0,0,1,0,0,0,40,0,0,0,0
765,3,0,0,0,1,0,0,0,0,0,0,0,0
775,3,0,0,0,1,0,0,0,0,0,0,0,0
785,3,0,0,0,1,0,0,0,0,0,0,0,0
795,3,0,0,0,1,0,0,0,0,0,0,0,0
805,3,0,0,0,1,0,0,0,0,0,0,0,1
815,3,0,0,0,1,0,0,0,0,0,0,0,1
825,3,0,0,0,1,0,0,0,0,0,0,0,1
835,3,0,0,0,1,0,0,0,0,0,0,0,1
845,3,0,0,0,1,0,0,0,0,0,0,0,1
855,3,0,0,0,1,0,0,0,0,0,0,0,1
865,3,0,0,0,1,0,0,0,0,0,0,0,1
875,3,0,0,0,1,0,0,0,0,0,0,0,1
885,3,0,0,0,1,0,0,0,0,0,0,0,1
895,3,0,0,0,1,0,0,0,0,0,0,0,1
905,3,0,0,0,1,0,0,0,0,0,0,0,1
915,3,0,0,0,1,0,0,0,0,0,0,0,1
925,3,0,0,0,1,0,0,0,0,0,0,0,1
935,3,0,0,0,1,0,0,0,0,0,0,0,1
945,3,0,0,0,1,0,0,0,0,0,0,0,1
955,3,0,0,0,1,0,0,0,0,0,0,0,1
965,3,0,0,0,1,0,0,0,0,0,0,0,1
975,3,0,0,0,1,0,0,0,0,0,0,0,1
985,3,0,0,0,1,0,0,0,0,0,0,0,1
995,3,0,0,0,1,0,0,0,0,0,0,0,1
1005,3,0,0,0,1,0,0,0,0,0,0,0,0
1015,3,0,0,0,1,0,0,0,0,0,0,0,0
1025,3,0,0,0,1,0,0,0,0,0,0,0,0
1035,3,0,0,0,1,0,0,0,0,0,0,0,0
1045,3,0,0,0,1,0,0,0,0,0,0,0,0
